dataset,k,d,ftr_extractor,classifier,fold,trn_oa,trn_aa,trn_f1_macro,trn_f1_c0,trn_f1_c1,trn_f1_c2,trn_f1_c3,trn_f1_c4,trn_f1_c5,trn_f1_c6,trn_f1_c7,trn_f1_c8,trn_f1_c9,trn_f1_c10,trn_f1_c11,trn_f1_c12,val_oa,val_aa,val_f1_macro,val_f1_c0,val_f1_c1,val_f1_c2,val_f1_c3,val_f1_c4,val_f1_c5,val_f1_c6,val_f1_c7,val_f1_c8,val_f1_c9,val_f1_c10,val_f1_c11,val_f1_c12,tst_oa,tst_aa,tst_f1_macro,tst_f1_c0,tst_f1_c1,tst_f1_c2,tst_f1_c3,tst_f1_c4,tst_f1_c5,tst_f1_c6,tst_f1_c7,tst_f1_c8,tst_f1_c9,tst_f1_c10,tst_f1_c11,tst_f1_c12
KSC,0.25,8,PCA,NB,1,0.8680933852140078,0.8354851502394637,0.8311457256472359,0.8593350383631714,0.9683544303797468,0.7253886010362695,0.622568093385214,0.7739463601532567,0.6434782608695652,0.6649746192893401,0.9418604651162792,0.9627118644067796,0.9578947368421052,0.8721590909090909,0.9810771470160116,0.5927601809954751,0.5869943202151243,0.4374555980065053,0.0,0.0,0.9037037037037036,0.0,1.0,0.0,0.64375,0.0,0.9641434262948207,0.9978021978021978,0.2705718270571827,0.4694960212201591,0.7578512396694215,0.5561105745849108,0.5574742318632967,0.8812056737588653,0.9247311827956988,0.6708074534161491,0.452991452991453,0.0,0.3904382470119522,0.6262626262626263,0.0,0.9391304347826088,0.0,0.8041237113402062,1.0,,,
KSC,0.25,8,PCA,NB,2,0.902155887230514,0.8572769757199912,0.8522700473974526,0.8549222797927462,0.8372093023255814,0.8032786885245902,0.6020408163265306,0.7938931297709924,0.6666666666666666,0.89171974522293,0.8827930174563591,0.923512747875354,0.9710144927536232,0.9782082324455206,0.874251497005988,1.0,0.7662473794549266,0.5507478632478633,0.4707626691377443,0.2857142857142857,0.9710982658959536,0.0,0.2857142857142857,1.0,0.0,1.0,0.0,0.7549194991055456,0.0,0.0,0.8242074927953891,0.9982608695652174,0.7375201288244766,0.6422943751785518,0.6308993292471471,0.8831858407079646,0.8941176470588236,0.6030150753768844,0.3125,0.0,0.375,0.5517241379310345,0.7796610169491526,1.0,0.9666666666666668,0.0,0.835820895522388,1.0
KSC,0.25,8,PCA,NB,3,0.9086446686664847,0.8483153978700192,0.8509694609547306,0.8387096774193549,0.9194630872483222,0.7818696883852692,0.5341614906832298,0.8235294117647058,0.7542372881355932,0.8819875776397516,0.8068376068376069,0.936007640878701,0.9257950530035336,0.9769696969696968,0.8830347734457323,1.0,0.5231788079470199,0.5623136553369112,0.4908714454120632,0.6054054054054054,0.0,0.0,0.4776119402985074,0.0,0.0,1.0,0.6829268292682927,1.0,0.6153846153846154,1.0,0.0,1.0,0.6674718196457327,0.5503352731669394,0.542522883406526,0.7988338192419825,0.8452380952380952,0.5685279187817259,0.3684210526315789,0.0298507462686567,0.2756598240469208,0.5079365079365079,0.8817204301075269,0.0,0.9626556016597512,0.0,0.813953488372093,1.0
KSC,0.25,8,PCA,NB,4,0.9210230466554244,0.8879450128401314,0.8902052222914222,0.9405405405405406,0.9055374592833876,0.8794788273615635,0.6950354609929078,0.8875,0.776500638569604,0.938894277400582,0.9635036496350364,0.9794437726723096,0.826362484157161,0.9994603345925526,0.847682119205298,0.6765673981191223,0.4265236003154218,0.0,1.0,0.4166666666666667,0.275092936802974,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8696043165467626,0.6612928948163003,0.6428554471760501,0.9044481054365732,0.8554216867469879,0.6831683168316832,0.5163636363636364,0.5757575757575758,0.7647058823529411,0.0,0.9666666666666668,0.0,0.8048780487804879,1.0,,,,,,
KSC,0.25,8,PCA,NB,5,0.9037834311806916,0.8625581665235078,0.8621825297212704,0.8436363636363636,0.9197860962566844,0.729064039408867,0.6456692913385826,0.7799227799227799,0.7012987012987013,0.9863013698630136,0.7955271565495208,0.9548762736535662,0.9808429118773946,1.0,0.871447902571042,1.0,0.7331118493909191,0.5984276374256088,0.5351358116916016,0.8367346938775511,0.7047619047619048,0.5739130434782609,0.0,0.0,0.0,0.0,0.7428571428571429,0.8624338624338624,0.7531380753138075,0.8,0.6829268292682927,1.0,0.7181964573268921,0.6226632945599758,0.6255277107552522,0.863849765258216,0.7612903225806451,0.4729729729729729,0.4591439688715953,0.0,0.4304635761589404,0.4324324324324324,0.8301886792452831,0.0,0.9790794979079498,1.0,0.902439024390244,1.0
KSC,0.25,16,PCA,NB,1,0.8906614785992218,0.8608184495044097,0.8593930042297188,0.8682170542635659,0.981132075471698,0.7632850241545893,0.6639004149377593,0.8307692307692308,0.6949152542372882,0.7373493975903614,0.9373776908023485,0.9698996655518396,0.9523809523809524,0.919236417033774,0.9942528735632185,0.797134238310709,0.7689633230200928,0.5907822875057583,1.0,0.0,0.9726027397260274,0.0,1.0,0.0,0.9635036496350364,0.0,0.9882352941176472,0.9956140350877192,0.4347826086956521,0.7346491228070176,0.8380165289256198,0.6280579080002942,0.6285259711920115,0.9303964757709252,0.945054945054945,0.7362637362637363,0.4928909952606635,0.04,0.5803921568627451,0.8214285714285714,0.0,0.9958847736625516,0.0,1.0,1.0,,,
KSC,0.25,16,PCA,NB,2,0.9150912106135988,0.8670653714151009,0.8651600630130635,0.8720626631853786,0.8461538461538461,0.814404432132964,0.582010582010582,0.8301886792452831,0.6837606837606838,0.8903225806451613,0.9209183673469388,0.9378531073446328,0.9856115107913668,0.971916971916972,0.9118773946360154,1.0,0.8039832285115304,0.5,0.4151292053242435,0.6666666666666666,0.9770114942528736,0.0,0.08,0.0,0.0,1.0,0.0,0.8102564102564103,0.0,0.0,0.8627450980392157,1.0,0.7946859903381642,0.7458846528788313,0.7436181428707289,0.9303964757709252,0.891566265060241,0.6391752577319587,0.3118279569892473,0.0677966101694915,0.5905511811023622,0.4827586206896552,0.8070175438596491,1.0,1.0,1.0,0.945945945945946,1.0
KSC,0.25,16,PCA,NB,3,0.935369511862558,0.8870558167323168,0.8919004718608907,0.8360655737704918,0.9271523178807948,0.8547008547008547,0.7160493827160493,0.8825910931174089,0.808,0.8679245283018868,0.8798751950078003,0.9311348205625606,0.9782608695652174,0.9684466019417476,0.9445048966267682,1.0,0.6158940397350994,0.6875739644970414,0.6116222676156725,0.6903553299492385,0.0,0.0,0.4193548387096774,0.0,0.0,1.0,0.8413793103448276,1.0,1.0,1.0,1.0,1.0,0.7262479871175523,0.672128860009386,0.6634012254033181,0.8259187620889749,0.8606060606060606,0.6865671641791045,0.4574468085106383,0.074074074074074,0.3966005665722379,0.4590163934426229,0.9019607843137256,0.0,1.0,1.0,0.9620253164556962,1.0
KSC,0.25,16,PCA,NB,4,0.9460370994940978,0.9082689541418568,0.912338387142097,0.9728260869565216,0.906148867313916,0.8881578947368421,0.684931506849315,0.8805031446540881,0.8790931989924433,0.936046511627907,0.9802513464991024,0.9721886336154776,0.9361147327249022,0.9994603345925526,0.847682119205298,0.6748436748436748,0.5219381313131314,0.0,1.0,0.4444444444444444,0.296875,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8929856115107914,0.7772872536871037,0.7571603492059037,0.905814905814906,0.8658536585365854,0.7357512953367875,0.5591397849462365,0.4590163934426229,0.8288288288288288,0.0,1.0,1.0,0.9743589743589745,1.0,,,,,,
KSC,0.25,16,PCA,NB,5,0.9328114807566862,0.8952561707825202,0.8952123268270107,0.8633093525179856,0.9398907103825136,0.7777777777777778,0.7044534412955465,0.8262548262548263,0.7563025210084033,0.9863013698630136,0.88379705400982,0.9508670520231214,0.9962264150943396,0.9977924944812362,0.9547872340425532,1.0,0.7685492801771872,0.6197852202802697,0.557336019434233,0.875,0.6923076923076923,0.6153846153846154,0.0,0.0,0.0,0.0,0.8105263157894737,0.8877005347593583,0.8921933085501859,0.7924528301886793,0.6798029556650246,1.0,0.7721417069243156,0.6570224323487176,0.6533000866157218,0.9134001823154057,0.7755102040816326,0.5179856115107914,0.4824902723735408,0.04,0.5804195804195804,0.3733333333333333,0.8518518518518519,0.0,0.9958847736625516,1.0,0.9620253164556962,1.0
